0,Content,对华情感预测,私人情感预测
" 体育,Fan Zhendong,donutpeach,f,en,I keep thinking all these dog related tweets are about fan zhendong bruh", 体育fan zhendongdonutpeachfeni keep thinking all these dog related tweets are about fan zhendong bruh,0,0
" 体育,Fan Zhendong,Zhang Meifang,t,en,Congratulations to Fan Zhendong, Ma Long and Wang Chuqin  for winning their 5th Olympic Games team gold medal #PingPong #TableTennis #Paris2024 #ChinaTeam", 体育fan zhendongzhang meifangtencongratulations to fan zhendong ma long and wang chuqin  for winning their th olympic games team gold medal pingpong tabletennis paris chinateam,0,0
" 体育,Fan Zhendong,B.mp3,f,en,Fan Zhendong is my favorite swiftie", 体育fan zhendongbmpfenfan zhendong is my favorite swiftie,2,2
" 体育,Fan Zhendong,Balu Mahendra,f,en,That’s Great ..!!! Fan Zhendong , What a Match ….  #TableTennis #Paris2024", 体育fan zhendongbalu mahendrafenthats great  fan zhendong  what a match   tabletennis paris,0,1
" 体育,Fan Zhendong,aaliyah.,f,en,Fan Zhendong is so so so cool", 体育fan zhendongaaliyahfenfan zhendong is so so so cool,2,2
" 体育,Fan Zhendong,GuiGuinh,f,en,All my homies hate Fan Zhendong.", 体育fan zhendongguiguinhfenall my homies hate fan zhendong,0,2
" 体育,table tennis china,RVCJ Media,t,en,China Dominant Table Tennis ", 体育table tennis chinarvcj mediatenchina dominant table tennis ,1,0
" 体育,table tennis china,KOOLER FINAL FORM,f,en,China went crazy in table tennis they got 4 more golds than us", 体育table tennis chinakooler final formfenchina went crazy in table tennis they got  more golds than us,2,0
" 体育,table tennis china,Steven,f,en,Does anyone actually think Sweden can beat China at table tennis?", 体育table tennis chinastevenfendoes anyone actually think sweden can beat china at table tennis,2,0
" 体育,table tennis china,TonyReed,f,en,This China PRK table tennis gold medal match is insane", 体育table tennis chinatonyreedfenthis china prk table tennis gold medal match is insane,0,2
" 体育,table tennis china,P,f,en,bruh yall seeing this north korea vs china table tennis??? lmao tf", 体育table tennis chinapfenbruh yall seeing this north korea vs china table tennis lmao tf,2,0
" 体育,table tennis china,Brandon Eff Dub,f,en,To break the gold medal tie with China, we should play a  basketball game against China's table tennis team.", 体育table tennis chinabrandon eff dubfento break the gold medal tie with china we should play a  basketball game against chinas table tennis team,2,2
" 体育,table tennis china,Olivia,f,en,Chinese table tennis player Ma Long visits Taiwan, China. Ma Long is really popular #Malong #chinatravel #Taiwan #pingpong #sports", 体育table tennis chinaoliviafenchinese table tennis player ma long visits taiwan china ma long is really popular malong chinatravel taiwan pingpong sports,2,2
" 体育,table tennis china,China on wheels互fo,t,en,They have defended China's dominance in table tennis.", 体育table tennis chinachina on wheels互fotenthey have defended chinas dominance in table tennis,0,0
" 体育,table tennis china,ファックユー,f,en,ngl this japan n china table tennis match is crazy", 体育table tennis chinaファックユーfenngl this japan n china table tennis match is crazy,2,0
" 体育,table tennis china,Bandolorian,f,en,China vs Japan table tennis match got me standing up", 体育table tennis chinabandolorianfenchina vs japan table tennis match got me standing up,0,1
" 体育,table tennis china,cookie_cutter,t,en,The scary part is China's improvement in Chess! Its like India defeating them in Table Tennis Olympics or defeating South Korea in Go!", 体育table tennis chinacookie_cuttertenthe scary part is chinas improvement in chess its like india defeating them in table tennis olympics or defeating south korea in go,2,0
" 体育,table tennis china,footprints ,t,en,I've not seen dominance in sports by a country the way China does it in Table Tennis.", 体育table tennis chinafootprints tenive not seen dominance in sports by a country the way china does it in table tennis,2,2
" 体育,table tennis china,Archi,f,en,China is dominating table tennis in Paralympics too . Seems that sport was made for them.", 体育table tennis chinaarchifenchina is dominating table tennis in paralympics too  seems that sport was made for them,1,2
" 体育,table tennis china,Chengdu China,t,en,That is why China  is unstoppable when it comes to table tennis   cr: bash_table_tennis_specialists #kid #tabletennis #pingpong #sports #like #fypシ #fyp #viral #china #trend", 体育table tennis chinachengdu chinatenthat is why china  is unstoppable when it comes to table tennis   cr bash_table_tennis_specialists kid tabletennis pingpong sports like fypシ fyp viral china trend,1,2
" 体育,table tennis china,Thomas Lee,f,en,If China promotes football just as table tennis, there will be great progress.", 体育table tennis chinathomas leefenif china promotes football just as table tennis there will be great progress,0,0
" 体育,teamchina,Olivia,f,en,Go, Team China! Wishing you the best of luck in making it to the World Cup and achieving great success! #TeamChina #WorldCup #soccer #sportspride #ai", 体育teamchinaoliviafengo team china wishing you the best of luck in making it to the world cup and achieving great success teamchina worldcup soccer sportspride ai,0,0
" 体育,teamchina,Xuejing,t,en,China wins!!! So lucky to have a chance to witness the match and cover it. Very dramatic turn at 87' but finally we won!! #AFCQualifiers #TeamChina #roadto2026 ", 体育teamchinaxuejingtenchina wins so lucky to have a chance to witness the match and cover it very dramatic turn at  but finally we won afcqualifiers teamchina roadto ,2,1
" 体育,teamchina,Elderly Capital,f,en,Congrats to #TeamChina,The number one is great", 体育teamchinaelderly capitalfencongrats to teamchinathe number one is great,0,1
" 体育,teamchina,Chinese Embassy in UAE,t,en,Go #TeamChina! You've already made us proud with your hard work and dedication. #Paris2024 #Paralympics", 体育teamchinachinese embassy in uaetengo teamchina youve already made us proud with your hard work and dedication paris paralympics,1,1
" 体育,teamchina,ruiyi（100％互fo）,f,en,Quan Hongchan and Chen Yuxi's diving performances are almost identical, like mirror images of each other.#quanhongchan #Diving #TeamChina", 体育teamchinaruiyi互fofenquan hongchan and chen yuxis diving performances are almost identical like mirror images of each otherquanhongchan diving teamchina,1,2
" 体育,teamchina,Mir_Li,f,en,Great honor for Team China! #teamchina", 体育teamchinamir_lifengreat honor for team china teamchina,0,0
" 体育,teamchina,Golover,f,en,The Chinese are not surprised to win the championship of table tennis at the Olympic Games.#paris2024 #Olympics #teamchina #tabletennis", 体育teamchinagoloverfenthe chinese are not surprised to win the championship of table tennis at the olympic gamesparis olympics teamchina tabletennis,0,1
" 体育,teamchina,AmbassadorLiu,t,en,#Olympics2024Paris brings us an unforgettable summer. Congrats to #TeamChina and #TeamCyprus for the medals and the breakthroughs.", 体育teamchinaambassadorliutenolympicsparis brings us an unforgettable summer congrats to teamchina and teamcyprus for the medals and the breakthroughs,1,2
" 体育,teamchina,He Rulong 何儒龙,t,en,Proud that #TeamChina had not only topped the gold medals tally, but also won gold medals of morality, character and cleanliness at #OlympicGamesParis2024 !", 体育teamchinahe rulong 何儒龙tenproud that teamchina had not only topped the gold medals tally but also won gold medals of morality character and cleanliness at olympicgamesparis ,1,1
" 体育,teamchina,Xi's Moments,t,en,Chinese young generation of athletes made a splash in Paris as they carried the nation's Olympics glory. #Paris2024 #TeamChina #Olympics", 体育teamchinaxis momentstenchinese young generation of athletes made a splash in paris as they carried the nations olympics glory paris teamchina olympics,0,1
" 体育,teamchina,Yangtzer,f,en,Kids thrilled to meet Ma Long and get his signature at Paris 2024. #paris2024 #paris2024olympics #olympics2024 #malong #tabletennis #goldmedalist #medalist #olympicchampion #TeamChina", 体育teamchinayangtzerfenkids thrilled to meet ma long and get his signature at paris  paris parisolympics olympics malong tabletennis goldmedalist medalist olympicchampion teamchina,2,0
" 体育,teamchina,ailuqiao ,t,en,It's not easy! Congratulate these girls on realizing their gold medal dream. #Olympics #OlympicGames #Paris2024 #TeamChina", 体育teamchinaailuqiao tenits not easy congratulate these girls on realizing their gold medal dream olympics olympicgames paris teamchina,0,2
" 体育,teamchina,Cyan Fung,t,en,It is a breakthrough!#Paris2024 #TeamChina", 体育teamchinacyan fungtenit is a breakthroughparis teamchina,2,2
" 体育,teamchina,ShanghaiPanda,f,en,I'm proud of you! Team China! #Paris2024 #Olympics #TeamChina #Gold", 体育teamchinashanghaipandafenim proud of you team china paris olympics teamchina gold,0,1
" 体育,teamchina,ShanghaiEyeofficial,t,en,Shining!#TeamChina  #Paris2024", 体育teamchinashanghaieyeofficialtenshiningteamchina  paris,1,0
" 体育,teamchina,Karl W.,f,en,So The Coward Is TeamChina  So Many", 体育teamchinakarl wfenso the coward is teamchina  so many,2,2
" 体育,teamchina,Yangtzer,f,en,Congrats, girls  #Paris2024 #Olympics #TeamChina", 体育teamchinayangtzerfencongrats girls  paris olympics teamchina,1,0
" 体育,teamchina,Incredible Gangcheng,f,en,After a 36-year journey, China has finally set foot on the top step of an Olympic podium. #TeamChina #ArtisticSwimming #Paris2024 #Olympics https://bit.ly/4fDjDZB (Source: ChinaDaily)", 体育teamchinaincredible gangchengfenafter a year journey china has finally set foot on the top step of an olympic podium teamchina artisticswimming paris olympics httpsbitlyfdjdzb source chinadaily,0,0
" 体育,china Olympics,,t,en,i hate to break it to you all but China does care and so are your faves. China cares a lot about having a Chinese Represent in the Global stage. Refer to Olympics and Michelle Yeoh winning Oscar.", 体育china olympicsteni hate to break it to you all but china does care and so are your faves china cares a lot about having a chinese represent in the global stage refer to olympics and michelle yeoh winning oscar,0,0
" 体育,china Olympics,Riley McGruff,t,en,Remember the Olympics hosted by China? Remember that drone light show"""" ? I do.", 体育china olympicsriley mcgrufftenremember the olympics hosted by china remember that drone light show  i do,0,2
" 体育,china Olympics,People's Daily Online SA,f,en,China's sports boom is creating new careers! From badminton stringers to climbing coaches, demand for sports pros is skyrocketing.   #SportsCareers #ChinaSports #Olympics", 体育china olympicspeoples daily online safenchinas sports boom is creating new careers from badminton stringers to climbing coaches demand for sports pros is skyrocketing   sportscareers chinasports olympics,0,0
" 体育,china Olympics,Sulazanne,t,en,YES we knew the minute he said it that it did NOT come from Whuan…it was spread there just in case time for the 2019 Olympics in China so they would be blamed", 体育china olympicssulazannetenyes we knew the minute he said it that it did not come from whuanit was spread there just in case time for the  olympics in china so they would be blamed,1,2
" 体育,china Olympics,riv,f,en,i just remembered how i found a jacket from the u.s team from the paris olympics while i was thrifting, so i’m still hoping to find one from china’s team", 体育china olympicsrivfeni just remembered how i found a jacket from the us team from the paris olympics while i was thrifting so im still hoping to find one from chinas team,1,0
" 体育,china Olympics,robcrooks,t,en,I cannot wait for China to beat Canada at hockey at the 2034 Olympics", 体育china olympicsrobcrooksteni cannot wait for china to beat canada at hockey at the  olympics,0,0
" 体育,china Olympics,John Marzan ,f,en,If China behaves in the next 4 years and dont invade Taiwan, they'll be allowed to participate in the 2028 summer olympics, and maybe the 2026 world cup too if they can qualify.", 体育china olympicsjohn marzan fenif china behaves in the next  years and dont invade taiwan theyll be allowed to participate in the  summer olympics and maybe the  world cup too if they can qualify,1,2
" 体育,china Olympics,Black Queer Living,f,en,It’s so interesting seeing American media switch sides on China as a whole tbh. Like if you looked at an article about China from 2008 (Olympics) versus now the difference would be stark im sure", 体育china olympicsblack queer livingfenits so interesting seeing american media switch sides on china as a whole tbh like if you looked at an article about china from  olympics versus now the difference would be stark im sure,0,1
" 体育,china Olympics,Mandate of Heaven,f,en,So China won that gold and beat the USA in the Paris Olympics.", 体育china olympicsmandate of heavenfenso china won that gold and beat the usa in the paris olympics,0,0
" 体育,china Olympics,Yung Awal Damu 300,f,en,Watched  this  earlier I still can't belive we tied with China at the Olympics", 体育china olympicsyung awal damu fenwatched  this  earlier i still cant belive we tied with china at the olympics,2,1
" 体育,china Olympics,Barbara,f,en,China controlled weather at their Olympics. It had to be dumped somewhere clouds are not buckets. Weather warfare? I reckon", 体育china olympicsbarbarafenchina controlled weather at their olympics it had to be dumped somewhere clouds are not buckets weather warfare i reckon,1,2
" 体育,china Olympics,よっこ医しょういち,f,en,Cute Chinese gymnast reaction#reels #olympics#funny #china #gymnast #rea... https://youtube.com/shorts/0V7IjBlesXE?si=PSueM_PQv8vg92AJ… @YouTubeより", 体育china olympicsよっこ医しょういちfencute chinese gymnast reactionreels olympicsfunny china gymnast rea httpsyoutubecomshortsvijblesxesipsuem_pqvvgaj youtubeより,0,1
" 体育,china Olympics,Freedom (Saquon MVP),f,en,If we sent the Kraken roster to Paris for the Summer Olympics China wouldn’t have dominated the diving competition", 体育china olympicsfreedom saquon mvpfenif we sent the kraken roster to paris for the summer olympics china wouldnt have dominated the diving competition,2,1
" 体育,china Olympics,CHIBYKE AFRICA ,t,en,In the nearest future China may win all gold medal in the Olympics", 体育china olympicschibyke africa tenin the nearest future china may win all gold medal in the olympics,1,1
" 体育,china Olympics,Amazing Facts,f,en,Unique strategy from the Chinese speed skaters at the youth olympics.....#chinese #china", 体育china olympicsamazing factsfenunique strategy from the chinese speed skaters at the youth olympicschinese china,0,0
" 体育,china Olympics,ShanghaiEyeofficial,t,en,  China’s tennis Queen and Paris Olympics champion #ZhengQinwen dropped just two games, firing 12 aces to defeat Jasmine Paolini, reaching last four of #WTA Finals  #郑钦文", 体育china olympicsshanghaieyeofficialten  chinas tennis queen and paris olympics champion zhengqinwen dropped just two games firing  aces to defeat jasmine paolini reaching last four of wta finals  郑钦文,1,0
" 体育,china swim,brisky,f,en,i would swim to china if it meant i could know love", 体育china swimbriskyfeni would swim to china if it meant i could know love,1,2
" 体育,china swim, The Big Swim,f,en,Did you think China would adopt the cost of the tariffs??? Those fucking dickwads lmaoooooo", 体育china swim the big swimfendid you think china would adopt the cost of the tariffs those fucking dickwads lmaoooooo,2,1
" 体育,china swim,VisitZigong（互fo必关）,f,en,Totally，I also want to swim in space please give me a chance. #Space #China #swimmingpool  #NASA", 体育china swimvisitzigong互fo必关fentotallyi also want to swim in space please give me a chance space china swimmingpool  nasa,1,1
" 体育,china swim,ambitious  .,f,en,This man put that dick all up in me  he love taking a swim", 体育china swimambitious  fenthis man put that dick all up in me  he love taking a swim,1,1
" 体育,china swim,rei ☆,f,en,I need to buy some fucking gold and move to china the way the dollar is gonna go for a swim", 体育china swimrei feni need to buy some fucking gold and move to china the way the dollar is gonna go for a swim,1,1
" 体育,china swim,Manu,t,en,China is living in 2050 BYD Cars overtakes TESLA 1. A car that can SWIM in water 2. A car can do side parking 3. A car 360-degree rotation  #BYD #china #Tesla", 体育china swimmanutenchina is living in  byd cars overtakes tesla  a car that can swim in water  a car can do side parking  a car degree rotation  byd china tesla,0,0
" 体育,china swim,Marisa Torre,f,en,A precision swim by China #Olympics #ArtisticSwimming could be a win for them.", 体育china swimmarisa torrefena precision swim by china olympics artisticswimming could be a win for them,2,0
" 体育,china swim,Page_adventure,f,en,If you think you can swim... Think again.  People's Republic of China's team wows the world with its technical water dance routine.  #France #Paris2024 #Olympics #waterdance #crazyroutine", 体育china swimpage_adventurefenif you think you can swim think again  peoples republic of chinas team wows the world with its technical water dance routine  france paris olympics waterdance crazyroutine,2,1
" 体育,china swim,CGTN,t,en,Team China ends U.S. swim relay reign with a clean gold medal #Paris2024 #FirstVoice", 体育china swimcgtntenteam china ends us swim relay reign with a clean gold medal paris firstvoice,1,1
" 体育,china swim,,t,en,sore fucking losers!!! omg. congrqts china let them all SEETHE and swim in their tears", 体育china swimtensore fucking losers omg congrqts china let them all seethe and swim in their tears,0,1
" 体育,china swim,a struggling artist,t,en,Between the swim team giving their props to china when the loser Australians couldn’t be bothered, to this picture right here. The narrative that Americans have poor sportsmanship is a false one!", 体育china swima struggling artisttenbetween the swim team giving their props to china when the loser australians couldnt be bothered to this picture right here the narrative that americans have poor sportsmanship is a false one,1,1
" 体育,china swim,Tic,f,en,Seeing a lot of white dogs barking and a bunch of clones maliciously attacking Pan Zhanle, I just asked, a normal person can swim faster than a bunch of asthma patients. What's the problem?", 体育china swimticfenseeing a lot of white dogs barking and a bunch of clones maliciously attacking pan zhanle i just asked a normal person can swim faster than a bunch of asthma patients whats the problem,2,2
" 体育,china swim,solomon's temple,t,en,China nice swim.  That last guy incredible.", 体育china swimsolomons templetenchina nice swim  that last guy incredible,1,0
" 体育,china swim,zet,t,en,China swim team GOAT, also Pan Zhanle effect", 体育china swimzettenchina swim team goat also pan zhanle effect,0,1
" 体育,china swim,Kyle,f,en,Do you guys think China is on something illegal after that swim? #Paris2024", 体育china swimkylefendo you guys think china is on something illegal after that swim paris,1,2
" 体育,china open tennis,woody602,f,en,Congratulations! Top seed Zheng Qinwen of #China beat former Australian Open champion Kenning 2-0 to win the women's singles final at WTA500 #Tokyo on Oct. 27. #TENNIS", 体育china open tenniswoodyfencongratulations top seed zheng qinwen of china beat former australian open champion kenning  to win the womens singles final at wta tokyo on oct  tennis,0,1
" 体育,china open tennis,China Takeaway,t,en,No.1 seed Zheng Qinwen  defeated No.8 seed Leylah Fernandez with a three-set win in the Toray Pan Pacific Open Tennis 2024 quarterfinals on Friday.  #TENNIS", 体育china open tennischina takeawaytenno seed zheng qinwen  defeated no seed leylah fernandez with a threeset win in the toray pan pacific open tennis  quarterfinals on friday  tennis,0,0
" 体育,china open tennis,Blessed,f,en,Excellent match @CocoGauff well done!!!!! China Open champion!!!!", 体育china open tennisblessedfenexcellent match cocogauff well done china open champion,0,2
" 体育,china open tennis,Sportskeeda Tennis,f,en,Who is going to win this semifinal at China Open?  Comment  for Coco Gauff and  for Paula Badosa here  #CocoGauff #PaulaBadosa #Tennis", 体育china open tennissportskeeda tennisfenwho is going to win this semifinal at china open  comment  for coco gauff and  for paula badosa here  cocogauff paulabadosa tennis,1,1
" 科技,Alibaba,The Chosun Daily,f,en,ABLY Corp. secured a $75M investment from Alibaba, boosting its valuation to $2.25B as it targets global expansion in K-fashion e-commerce.  #ABLY #Alibaba #Investment #Fashion #SouthKorea", 科技alibabathe chosun dailyfenably corp secured a m investment from alibaba boosting its valuation to b as it targets global expansion in kfashion ecommerce  ably alibaba investment fashion southkorea,2,2
" 科技,Alibaba,Venture Capital Podcast,f,en, Leadership is About Empowering Others  #jackma #alibaba #VentureCapital", 科技alibabaventure capital podcastfen leadership is about empowering others  jackma alibaba venturecapital,1,1
" 科技,Alibaba,Nyan Nyan,f,en,Want to understand why Douyin is eating Alibaba and JD’s lunch? Take rate is 30%", 科技alibabanyan nyanfenwant to understand why douyin is eating alibaba and jds lunch take rate is ,1,2
" 科技,Alibaba,Mista G,f,en,The Temu playbook is easy. Sees shopping data from Alibaba from countries like Nigeria, build a replica (read model), throw money at it and give perks.", 科技alibabamista gfenthe temu playbook is easy sees shopping data from alibaba from countries like nigeria build a replica read model throw money at it and give perks,1,0
" 科技,Alibaba,Daniel Emeka,t,en,I don’t think Temu is looking for your love sha… they just want to you shift from using Alibaba and that’s basically all that there is to that type of product and apparently, it’s working.", 科技alibabadaniel emekateni dont think temu is looking for your love sha they just want to you shift from using alibaba and thats basically all that there is to that type of product and apparently its working,0,0
" 科技,Alibaba,アドリット ,f,en,it just takes a few seconds to realise that we're living in China's era.  and  Alibaba delivering my boards on time.", 科技alibabaアドリット fenit just takes a few seconds to realise that were living in chinas era  and  alibaba delivering my boards on time,2,1
" 科技,Alibaba,Pierre Vannier,t,en,America is a great country ? ... No, I can't tell... China ? ... Let me tell you why China is great... #QwenTheCensored @Alibaba_Qwen How brainwashed are you ?", 科技alibabapierre vanniertenamerica is a great country   no i cant tell china   let me tell you why china is great qwenthecensored alibaba_qwen how brainwashed are you ,0,2
" 科技,Alibaba,Haki-Man Binga,f,en,once you realize 90% of amazon is alibaba/temu you will save a shit ton of money", 科技alibabahakiman bingafenonce you realize  of amazon is alibabatemu you will save a shit ton of money,2,0
" 科技,Alibaba,Oilhand,f,en,Alibaba should win the Nobel prize for buying back their own stock.", 科技alibabaoilhandfenalibaba should win the nobel prize for buying back their own stock,2,1
" 科技,Alibaba,ZÁMÈÈĻ?¿,f,en,please man who shops on Temu or Alibaba here or any of these apps that import stuffs ???", 科技alibabazámèèļfenplease man who shops on temu or alibaba here or any of these apps that import stuffs ,0,0
" 科技,Alibaba,Steve Faktor,t,en,Why I never order chandeliers from Alibaba.", 科技alibabasteve faktortenwhy i never order chandeliers from alibaba,2,2
" 科技,Alibaba,jerk,f,en,After whatever happened with alibaba I don't trust a non liberal country", 科技alibabajerkfenafter whatever happened with alibaba i dont trust a non liberal country,1,1
" 科技,byd china,MetropolSolar RN,f,en,China's BYD overtakes Tesla revenue for first time", 科技byd chinametropolsolar rnfenchinas byd overtakes tesla revenue for first time,0,0
" 科技,byd china,Justin,f,en,$baba $tcehy $jd $byd are better businesses than 95% of American companies, invest in China before it is too late", 科技byd chinajustinfenbaba tcehy jd byd are better businesses than  of american companies invest in china before it is too late,2,2
" 科技,byd china,Adam Warden ,f,en,#Tesla China deliveries are now so tiny relative to the accelerating giant, #BYD's massive sales, that they are almost inconsequential to anyone other than the most deluded $TSLA Meme Monkeys!", 科技byd chinaadam warden fentesla china deliveries are now so tiny relative to the accelerating giant byds massive sales that they are almost inconsequential to anyone other than the most deluded tsla meme monkeys,1,2
" 科技,byd china,Omar I. Ávalos,f,en,And all this is, is a threat to Mexico and Canada to not create favorable business conditions for China and its state-sponsored enterprises, like BYD, etc. That's it, nothing more.", 科技byd chinaomar i ávalosfenand all this is is a threat to mexico and canada to not create favorable business conditions for china and its statesponsored enterprises like byd etc thats it nothing more,1,0
" 科技,byd china,Earth Accounting,t,en,#China’s #EV price war is so brutal that BYD is trying to pinch its suppliers", 科技byd chinaearth accountingtenchinas ev price war is so brutal that byd is trying to pinch its suppliers,0,2
" 科技,byd china,AJ,t,en,Tesla Model Y sales blow every other SUV in China out of the water including anything BYD has to offer. This is mighty impressive!", 科技byd chinaajtentesla model y sales blow every other suv in china out of the water including anything byd has to offer this is mighty impressive,0,0
" 科技,byd china,Fron Seneca  (1kYAE),t,en,First time riding BYD taxi and the car wont start until i say wazup beijing and america bad china good", 科技byd chinafron seneca  kyaetenfirst time riding byd taxi and the car wont start until i say wazup beijing and america bad china good,2,1
" 科技,byd china,Andrew J Phelan,t,en,From Honda to Toyota, Japan’s Carmakers Are Losing Ground to #China’s BYD, Geely", 科技byd chinaandrew j phelantenfrom honda to toyota japans carmakers are losing ground to chinas byd geely,1,2
" 科技,byd china,Marcus Baram,f,en,Damn these 100% tariffs, because these new BYD electric mini-SUVs from China are sweet", 科技byd chinamarcus baramfendamn these  tariffs because these new byd electric minisuvs from china are sweet,1,0
" 科技,byd china,Gulag Gulagovich Gulagov,f,en,China should gift President Trump a BYD car on inauguration day.", 科技byd chinagulag gulagovich gulagovfenchina should gift president trump a byd car on inauguration day,0,0
" 科技,byd china,Donny V,t,en,The power of centralized planning. #BYD #China", 科技byd chinadonny vtenthe power of centralized planning byd china,1,1
" 科技,byd china,CarNewsChina.com,t,en,BYD to unveil world's fastest charging battery for construction machinery   ", 科技byd chinacarnewschinacomtenbyd to unveil worlds fastest charging battery for construction machinery   ,1,0
" 科技,byd china,A. Early, Dr. of Min. ,f,en,Do folk believe Tesla could compete with China's BYD brand of EV?", 科技byd chinaa early dr of min fendo folk believe tesla could compete with chinas byd brand of ev,1,1
" 科技,byd china,Cytrus ,f,en,Byd u8 .. china car wow", 科技byd chinacytrus fenbyd u  china car wow,1,1
" 科技,byd china,DMARGE,f,en,Not everything from the world’s most populous nation is cheap and cheerful... #Yangwang #BYD #China #cars #auto", 科技byd chinadmargefennot everything from the worlds most populous nation is cheap and cheerful yangwang byd china cars auto,0,0
" 科技,byd china,Jason Birch,f,en,Musk and Tesla can't keep up with BYD in China - Business Insider", 科技byd chinajason birchfenmusk and tesla cant keep up with byd in china  business insider,2,1
" 科技,china ev,Andy,t,en,Top 10 EV battery producers are all in East Asia: China, South Korea, Japan. What US business and political leaders have been doing?", 科技china evandytentop  ev battery producers are all in east asia china south korea japan what us business and political leaders have been doing,1,1
" 科技,china ev,Iqball Allahferdiev,t,en,German EV cars are not competing in China at all", 科技china eviqball allahferdievtengerman ev cars are not competing in china at all,0,0
" 科技,china ev,goodguyᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,f,en,Who gave EV battery technology to China ? China's Mao said capitalist would sell its coffin to make money. Now we have created a monster in EV cars !", 科技china evgoodguyᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠfenwho gave ev battery technology to china  chinas mao said capitalist would sell its coffin to make money now we have created a monster in ev cars ,1,1
" 科技,china ev,Greg McGarvie,f,en,Never is this true Ev’s drop pollution levels and CO2 emissions in the US. That’s been happening in China too with well over 14 million EV’s on the road including buses over 66,000", 科技china evgreg mcgarviefennever is this true evs drop pollution levels and co emissions in the us thats been happening in china too with well over  million evs on the road including buses over ,2,0
" 科技,china ev,Richard Short ,f,en,China can make and export EV cars very cheaply because they have scant regard for workers rights and regulation. This is what tariffs are for. Time for 100+% tariffs just to level the field", 科技china evrichard short fenchina can make and export ev cars very cheaply because they have scant regard for workers rights and regulation this is what tariffs are for time for  tariffs just to level the field,2,0
" 科技,china ev,Martyn Lockhart,t,en,China EV sales hitting new highs once again. #oil #OOTT", 科技china evmartyn lockharttenchina ev sales hitting new highs once again oil oott,1,0
" 科技,china ev,Arpit Gupta,t,en,Good job China bulls! Totally proven correct about Chinese EV investments.", 科技china evarpit guptatengood job china bulls totally proven correct about chinese ev investments,0,1
" 科技,china ev,Tom Pauken II.,f,en,You can watch a video I appear in. We talk about China’s EVs and supply chains … How Chinese EV company powers global supply chain", 科技china evtom pauken iifenyou can watch a video i appear in we talk about chinas evs and supply chains  how chinese ev company powers global supply chain,2,0
" 科技,china ev,EVCircles,f,en,Today in the comments section I learned the secret of China’s success. Something to do with not selling woke EVs apparently.", 科技china evevcirclesfentoday in the comments section i learned the secret of chinas success something to do with not selling woke evs apparently,2,0
" 科技,china ev,Shehzad Younis شہزاد یونس,t,en,Europe’s battery crisis a humiliating reminder of China’s EV dominance", 科技china evshehzad younis شہزاد یونسteneuropes battery crisis a humiliating reminder of chinas ev dominance,0,0
" 科技,china ev,pradeep v,f,en,China’s EV price war set to intensify..", 科技china evpradeep vfenchinas ev price war set to intensify,2,0
" 科技,china ev,Spice Spice Girl,f,en,China is making the best EV cars, but Americans can’t buy them.  #ElonMusk #Tesla", 科技china evspice spice girlfenchina is making the best ev cars but americans cant buy them  elonmusk tesla,0,0
" 科技,china ev car,Paula C. Henderson, Author,f,en,If China, and the other countries are going to make and sell EV car to Americans, then America should certainly get in the game and be competitive.", 科技china ev carpaula c henderson authorfenif china and the other countries are going to make and sell ev car to americans then america should certainly get in the game and be competitive,2,2
" 科技,china ev car,James,t,en,China has won in the ev car market…", 科技china ev carjamestenchina has won in the ev car market,0,0
" 科技,china ev car,SmartCompany,f,en,The trade war between the US and China is driving prices even lower for Australia as EV car makers look for other lucrative markets to sell.", 科技china ev carsmartcompanyfenthe trade war between the us and china is driving prices even lower for australia as ev car makers look for other lucrative markets to sell,2,1
" 科技,china ev car,Sydney EV ,t,en,The cheapest NEW car in Australia is just under $20K,   (actually $19,990)  MG’s new electric SUV has starting price of less than $A22,000 in China", 科技china ev carsydney ev tenthe cheapest new car in australia is just under k   actually   mgs new electric suv has starting price of less than a in china,0,0
" 科技,china ev car,¥en,f,en,No Europe can not get up to speed with car industry with blaming China for what she is doing x2 .  #EV #GreenTech #Volkswagen #Renault  #China #CanadaInvests #AutoIndustry", 科技china ev carenfenno europe can not get up to speed with car industry with blaming china for what she is doing x   ev greentech volkswagen renault  china canadainvests autoindustry,2,0
" 科技,china ev car,Rob Elliott,f,en,No surprise and why Germany was wary of tariffs on Chinese NEVs. Another blow to the German car industry. China’s move also compatible with a cleaner planet. EV complacency strikes again", 科技china ev carrob elliottfenno surprise and why germany was wary of tariffs on chinese nevs another blow to the german car industry chinas move also compatible with a cleaner planet ev complacency strikes again,1,1
" 科技,china ev car,Freya,t,en,The rise of """"EV China"""" is insane. 10x growth in electric car sales in just 4 years, now making up 50% of new cars! #EVRevolution", 科技china ev carfreyatenthe rise of ev china is insane x growth in electric car sales in just  years now making up  of new cars evrevolution,2,0
